Wall time,Step,Value
1638372241.7265563,11,0.5111374258995056
1638372241.7405186,13,0.5087137818336487
1638372241.7963688,21,0.5125429630279541
1638372241.8103323,23,0.5213764309883118
1638372241.8402517,27,0.5242589712142944
1638372241.8542154,29,0.5268499851226807
1638372241.8681781,31,0.5259111523628235
1638372241.8951058,35,0.525834858417511
1638372241.9096322,37,0.5254176259040833
1638372241.924106,39,0.5255911946296692
1638372241.9380708,41,0.525478720664978
1638372241.9939194,49,0.5295267701148987
1638372242.1225781,67,0.5393364429473877
1638372242.13654,69,0.538999080657959
1638372242.163467,73,0.5396950244903564
1638372242.2083473,79,0.5415487289428711
1638372242.2233067,81,0.542212188243866
1638372242.2532277,85,0.5446175336837769
1638372242.2801554,89,0.5456677675247192
1638372242.2933736,91,0.5463787317276001
1638372242.3223004,95,0.5458804965019226
1638372242.35122,99,0.5483055710792542
1638372242.365184,101,0.5487611293792725
1638372242.4080691,107,0.550813615322113
1638372242.4220376,109,0.5507798790931702
1638372242.4359994,111,0.5513367056846619
1638372242.4499564,113,0.5514510869979858
1638372242.4639196,115,0.5521599054336548
1638372242.5078034,121,0.5507975816726685
1638372242.522767,123,0.5511038303375244
1638372242.5516858,127,0.551726222038269
1638372242.57961,131,0.5534491539001465
1638372242.59457,133,0.5546272397041321
1638372242.6085336,135,0.5535969138145447
1638372242.6224966,137,0.5540697574615479
1638372242.6653812,143,0.5560309290885925
1638372242.678346,145,0.5563033223152161
1638372242.693306,147,0.5565758943557739
1638372242.706272,149,0.5569276809692383
1638372242.736191,153,0.5583625435829163
1638372242.7810733,159,0.5597531199455261
1638372242.8558717,169,0.564207136631012
1638372242.8698425,171,0.5653105974197388
1638372242.8857925,173,0.5660653710365295
1638372242.9017508,175,0.5673007369041443
1638372242.916713,177,0.5680561661720276
1638372242.9325025,179,0.5683119297027588
1638372243.0073035,189,0.5732253789901733
1638372243.1339638,205,0.5763369202613831
1638372243.1808403,211,0.5777927041053772
1638372243.1957996,213,0.5788038372993469
1638372243.3101547,227,0.5848470330238342
1638372243.358026,233,0.5882682800292969
1638372243.388943,237,0.5904515385627747
1638372243.4039085,239,0.5909075736999512
1638372243.4198627,241,0.5923565030097961
1638372243.4836905,249,0.595586359500885
1638372243.4976559,251,0.596655547618866
1638372243.5126138,253,0.597629964351654
1638372243.5594888,259,0.6000682711601257
1638372243.5754447,261,0.6006612777709961
1638372243.6203277,267,0.6028327941894531
1638372243.6861546,275,0.6052672863006592
1638372243.717069,279,0.6066963076591492
1638372243.7469888,283,0.6083016395568848
1638372243.7619472,285,0.6091870665550232
1638372243.777905,287,0.6097189784049988
1638372243.7928648,289,0.6096954941749573
1638372243.8237846,293,0.6107624769210815
1638372243.8556974,297,0.6120734214782715
1638372243.8876154,301,0.6138402819633484
1638372243.932847,307,0.6154001951217651
1638372243.9488041,309,0.6158543229103088
1638372243.9647632,311,0.6164183020591736
1638372243.9956787,315,0.6167309284210205
1638372244.0116348,317,0.6172401309013367
1638372244.02859,319,0.6178593635559082
1638372244.0754657,325,0.620540976524353
1638372244.1243343,329,0.6223029494285583
1638372244.144282,331,0.6232132911682129
1638372244.1771932,335,0.6244308948516846
1638372244.1941476,337,0.6247577667236328
1638372244.247009,343,0.6268512010574341
1638372244.330371,353,0.6302223205566406
1638372244.347324,355,0.6307703256607056
1638372244.3642793,357,0.6310944557189941
1638372244.3971903,361,0.6316781044006348
1638372244.4151454,363,0.6322553157806396
1638372244.4480608,367,0.6327993869781494
1638372244.4819677,371,0.6334776878356934
1638372244.497922,373,0.633825421333313
1638372244.5178676,375,0.6344032883644104
1638372244.5358198,377,0.6348925232887268
1638372244.5687315,381,0.635712206363678
1638372244.585687,383,0.6357616186141968
1638372244.7003868,397,0.6384305953979492
1638372244.7711916,405,0.6397193670272827
1638372244.8429992,413,0.6404566764831543
1638372244.8609524,415,0.6409056186676025
1638372244.8779058,417,0.6412872076034546
1638372244.9453225,425,0.6427988409996033
1638372244.9612813,427,0.6431852579116821
1638372244.9951897,431,0.6437711715698242
1638372245.0490472,437,0.6449688673019409
1638372245.067,439,0.6455047130584717
1638372245.118859,445,0.6462327241897583
1638372245.1378088,447,0.6466370820999146
1638372245.1767051,451,0.6473527550697327
1638372245.1946564,453,0.6473891139030457
1638372245.211611,455,0.6476409435272217
1638372245.2475185,459,0.647897481918335
1638372245.2664664,461,0.6480389833450317
1638372245.2844164,463,0.6484791040420532
1638372245.3010652,465,0.648863673210144
1638372245.3190155,467,0.6492674350738525
1638372245.3379648,469,0.6495593786239624
1638372245.3918195,475,0.6508713364601135
1638372245.4456763,481,0.6513797044754028
1638372245.5174851,489,0.6524127125740051
1638372245.535439,491,0.6525233387947083
1638372245.5713408,495,0.6530814170837402
1638372245.6072443,499,0.6539041996002197
1638372246.8227742,501,0.6541617512702942
1638372246.899568,511,0.6558600068092346
1638372246.945596,517,0.6567628383636475
1638372246.9605563,519,0.6570413112640381
1638372246.9749498,521,0.6574665307998657
1638372246.9899101,523,0.6576461791992188
1638372247.0188324,527,0.6583220958709717
1638372247.077677,535,0.659347653388977
1638372247.108597,539,0.6599647402763367
1638372247.1395109,543,0.6607514023780823
1638372247.1674366,547,0.6613437533378601
1638372247.240241,557,0.6628805994987488
1638372247.2671702,561,0.6633530855178833
1638372247.3261764,569,0.6636356115341187
1638372247.406961,579,0.663444995880127
1638372247.441868,583,0.6639808416366577
1638372247.4568279,585,0.6641138792037964
1638372247.5047002,591,0.66495281457901
1638372247.534628,595,0.6655386686325073
