Wall time,Step,Value
1639161469.242146,1,0.004716981202363968
1639161473.040115,11,0.5828632116317749
1639161475.4987917,21,0.7845499515533447
1639161477.9946089,31,0.8532425165176392
1639161480.453018,41,0.8881301879882812
1639161483.001122,51,0.9094789028167725
1639161485.4864917,61,0.92535400390625
1639161488.1266072,71,0.9360941648483276
1639161490.698458,81,0.9439091682434082
1639161493.246609,91,0.9499341249465942
1639161495.885841,101,0.9548671245574951
1639161498.458318,111,0.958855926990509
1639161501.0314097,121,0.9617593884468079
1639161503.6336029,131,0.9648654460906982
1639161506.267516,141,0.9671359062194824
1639161508.863064,151,0.9694263935089111
1639161511.4116838,161,0.971186637878418
1639161514.033135,171,0.9728304743766785
1639161516.5799677,181,0.974236786365509
1639161519.3664484,191,0.9753733277320862
1639161521.8811529,201,0.9766880869865417
1639161524.4937,211,0.9778950214385986
1639161527.057735,221,0.9788310527801514
1639161529.7274315,231,0.9797172546386719
1639161532.3318706,241,0.980475127696991
1639161534.99595,251,0.9813064932823181
1639161537.528004,261,0.9819639325141907
1639161540.1705172,271,0.9826133251190186
1639161542.9121356,281,0.9833033084869385
1639161545.5566876,291,0.9838827252388
1639161548.1761844,301,0.9844348430633545
1639161550.8452282,311,0.9849356412887573
1639161553.4985209,321,0.9853536486625671
1639161556.2287536,331,0.9857748746871948
1639161558.953056,341,0.9861876964569092
1639161561.6850362,351,0.9865390658378601
1639161564.2772446,361,0.9869240522384644
1639161566.963702,371,0.9872646331787109
1639161569.4984734,381,0.9876447319984436
1639161572.218733,391,0.9879885911941528
1639161574.8110652,401,0.9882854223251343
1639161577.712935,411,0.9885772466659546
1639161580.3495798,421,0.9888639450073242
1639161582.9538674,431,0.9891417622566223
1639161585.7377722,441,0.9894134998321533
1639161588.3783817,451,0.9896371364593506
1639161591.0049505,461,0.9898744821548462
1639161593.6953623,471,0.9900904893875122
1639161596.3066275,481,0.9903116226196289
1639161599.0342622,491,0.990523636341095
1639161601.6511407,501,0.9907150864601135
1639161604.2446053,511,0.9909037351608276
1639161606.808246,521,0.9910783171653748
1639161609.377839,531,0.9912462830543518
1639161612.029596,541,0.9914093017578125
1639161614.7310119,551,0.9915595650672913
1639161617.3480911,561,0.9917067289352417
1639161619.9126365,571,0.9918522238731384
1639161622.533133,581,0.9919741749763489
1639161625.2402062,591,0.9921097755432129
1639161627.8273551,601,0.9922474026679993
1639161630.4735293,611,0.9923643469810486
1639161633.057029,621,0.9924748539924622
1639161635.6766233,631,0.9925986528396606
1639161638.2357955,641,0.9927060008049011
1639161640.8922536,651,0.9928063154220581
1639161643.5183854,661,0.9929078817367554
1639161646.1818452,671,0.9930232167243958
1639161648.9872313,681,0.9931232333183289
1639161652.0453537,691,0.9932239651679993
1639161655.0446906,701,0.9933278560638428
1639161658.077049,711,0.9934208989143372
1639161661.1235101,721,0.9935058355331421
1639161664.5477314,731,0.9935919642448425
1639161667.7096925,741,0.9936776161193848
1639161670.8173275,751,0.9937619566917419
1639161673.9002638,761,0.9938420057296753
