Wall time,Step,Value
1639027527.6457596,1,0.0
1639027529.5013177,3,0.0
1639027530.5283458,5,0.0
1639027530.6161108,7,0.0
1639027531.4472017,9,0.0
1639027531.5349672,11,0.0
1639027531.624727,13,0.0
1639027532.3953612,15,0.0
1639027532.484687,17,0.0
1639027532.5694604,19,0.0
1639027532.6602175,21,0.0
1639027533.4590812,23,0.0
1639027533.553828,25,0.0
1639027533.6386013,27,0.0
1639027533.725369,29,0.0
1639027534.5525537,31,0.0
1639027534.667247,33,0.0
1639027534.75601,35,0.0
1639027535.5842872,37,0.0
1639027535.6794343,39,0.0
1639027535.7701929,41,0.0
1639027536.5082173,43,0.0
1639027536.5949864,45,0.0
1639027536.681758,47,0.0
1639027536.768528,49,0.0
1639027537.551145,51,0.0
1639027537.643897,53,0.0
1639027537.7436306,55,0.0
1639027537.8433638,57,0.0
1639027538.7237713,59,0.0
1639027538.8110552,61,0.0
1639027538.8958287,63,0.0
1639027539.652819,65,0.0
1639027539.7445595,67,0.0
1639027539.8283348,69,0.0
1639027539.9141073,71,0.0
1639027540.6618223,73,0.0
1639027540.761556,75,0.0
1639027540.8652782,77,0.0
1639027540.9560356,79,0.0
1639027541.8533714,81,0.0
1639027541.9432282,83,0.0
1639027542.033986,85,0.0
1639027542.8308554,87,0.0
1639027542.913633,89,0.0
1639027543.0013993,91,0.0
1639027543.086172,93,0.0
1639027543.8390703,95,0.0
1639027543.9557555,97,0.0
1639027544.0495052,99,0.0
1639027544.1392648,101,0.0
1639027545.0133855,103,0.0
1639027545.1047404,105,0.0
1639027545.1922,107,0.0
1639027545.9568653,109,0.0
1639027546.0426357,111,0.0
1639027546.1264117,113,0.0
1639027546.2101884,115,0.0
1639027547.0844405,117,0.0
1639027547.1771934,119,0.0
1639027547.2749307,121,0.0
1639027548.0837677,123,0.0
1639027548.1740346,125,0.0
1639027548.262817,127,0.0
1639027548.3515794,129,0.0
1639027549.0920072,131,0.0
1639027549.1977248,133,0.0
1639027549.2824981,135,0.0
1639027549.366275,137,0.0
1639027550.2448153,139,0.0
1639027550.3325803,141,0.0
1639027550.4173539,143,0.0
1639027551.1723347,145,0.0
1639027551.2601,147,0.0
1639027551.343878,149,0.0
1639027551.4276521,151,0.0
1639027552.2764957,153,0.0
1639027552.371242,155,0.0
1639027552.462996,157,0.0
1639027553.2910092,159,0.0
1639027553.3827653,161,0.0
1639027553.4715266,163,0.0
1639027554.250443,165,0.0
1639027554.3496864,167,0.0
1639027554.4354584,169,0.0
1639027554.522245,171,0.0
1639027555.330947,173,0.0
1639027555.435666,175,0.0
1639027555.5274215,177,0.0
1639027556.3737218,179,0.0
1639027556.4744527,181,0.0
1639027556.5642128,183,0.0
1639027557.3778808,185,0.0
1639027557.4851024,187,0.0
1639027557.5858326,189,0.0
1639027558.4097567,191,0.0
1639027558.5124812,193,0.0
1639027558.6072285,195,0.0
1639027559.3845885,197,0.0
1639027559.4713562,199,0.0
1639027559.5541344,201,0.0
1639027559.643404,203,0.0
1639027560.4761775,205,0.0
1639027560.558955,207,0.0
1639027560.6487153,209,0.0
1639027561.5485697,211,0.0
