Wall time,Step,Value
1639061446.8564222,1,0.4339250326156616
1639061451.544355,11,0.45392847061157227
1639061455.3235836,21,0.49485352635383606
1639061458.335147,31,0.5328420400619507
1639061461.2318256,41,0.560126781463623
1639061464.6896424,51,0.5805313587188721
1639061468.3333898,61,0.596831738948822
1639061471.8255174,71,0.6106930375099182
1639061474.4505916,81,0.621852695941925
1639061477.6305778,91,0.6309871077537537
1639061480.928812,101,0.6386715769767761
1639061484.0491652,111,0.6451590657234192
1639061487.2817636,121,0.6504296660423279
1639061490.4907985,131,0.6550142765045166
1639061493.4564457,141,0.6589134931564331
1639061497.6682787,151,0.6624577045440674
1639061500.8754263,161,0.6655699014663696
1639061504.8384562,171,0.6683534979820251
1639061507.945239,181,0.6708648204803467
1639061511.0742598,191,0.6729174852371216
1639061514.180396,201,0.6747841238975525
1639061517.1135483,211,0.6765985488891602
1639061519.7795544,221,0.6783098578453064
1639061522.7947245,231,0.679844319820404
1639061525.6785102,241,0.6812100410461426
1639061528.6366713,251,0.6824750900268555
1639061531.4850075,261,0.6836689710617065
1639061534.4829612,271,0.6847391128540039
1639061537.2660885,281,0.6857879757881165
1639061540.3603618,291,0.6868096590042114
1639061543.0040355,301,0.6877750754356384
1639061546.15594,311,0.6886945962905884
1639061548.872638,321,0.6895485520362854
1639061551.8223248,331,0.6903218626976013
1639061554.6168106,341,0.6910490989685059
1639061557.5736344,351,0.6917299628257751
1639061560.671854,361,0.6923508644104004
1639061563.8059294,371,0.6929517984390259
1639061566.6366663,381,0.6935448050498962
1639061569.6567748,391,0.6941495537757874
1639061572.3580015,401,0.6947411894798279
1639061575.2500021,411,0.6953045725822449
1639061578.0276678,421,0.695864737033844
1639061581.0129838,431,0.6964123249053955
1639061583.8117476,441,0.6969642639160156
1639061586.7477267,451,0.697502613067627
1639061589.6459649,461,0.6980203986167908
1639061592.4591289,471,0.6985277533531189
1639061595.232246,481,0.6990172863006592
1639061598.2601557,491,0.6995088458061218
1639061601.1707768,501,0.6999944448471069
1639061604.223938,511,0.7004632949829102
1639061607.2877877,521,0.7009230256080627
1639061610.2749367,531,0.7013621926307678
1639061613.24399,541,0.7017911076545715
1639061616.2201254,551,0.7022073268890381
1639061619.3256886,561,0.7026087045669556
1639061622.3543053,571,0.7029954195022583
1639061625.2015996,581,0.7033585906028748
1639061628.010736,591,0.7037005424499512
1639061630.9524107,601,0.7040379643440247
1639061634.1788418,611,0.7043634057044983
1639061636.8769019,621,0.7046653628349304
1639061639.7840357,631,0.7049571871757507
1639061642.6227443,641,0.7052362561225891
1639061645.532157,651,0.7055008411407471
1639061648.4421892,661,0.705748975276947
1639061651.431562,671,0.7059926986694336
1639061654.2270002,681,0.7062317728996277
1639061657.2492495,691,0.7064681649208069
1639061660.1456423,701,0.7067015767097473
1639061663.1628628,711,0.7069305777549744
1639061665.9739244,721,0.7071511745452881
1639061668.8324592,731,0.7073608636856079
1639061671.7145457,741,0.7075660824775696
1639061674.7508075,751,0.7077649831771851
1639061677.5728447,761,0.7079576253890991
1639061680.4995372,771,0.7081451416015625
1639061683.4098418,781,0.708335280418396
1639061686.3417757,791,0.7085265517234802
1639061689.319865,801,0.7087218761444092
1639061692.3288684,811,0.7089141607284546
1639061695.1734803,821,0.7091061472892761
1639061698.2456017,831,0.7092980742454529
1639061701.043533,841,0.7094862461090088
