Wall time,Step,Value
1639068755.1761882,1,1.8216617107391357
1639068757.2507544,11,2.0080554485321045
1639068758.7460363,21,1.9954110383987427
1639068759.83811,31,1.8206018209457397
1639068760.8106375,41,1.9845494031906128
1639068761.8262517,51,1.9303061962127686
1639068762.867377,61,2.0671238899230957
1639068763.9706006,71,1.7486523389816284
1639068765.1305718,81,1.841066837310791
1639068766.2436283,91,1.8363240957260132
1639068767.3437908,101,2.1458382606506348
1639068768.4137635,111,1.9097926616668701
1639068769.4233742,121,1.9905829429626465
1639068770.4948692,131,2.0223031044006348
1639068771.6652522,141,1.9872829914093018
1639068772.7428405,151,1.9389652013778687
1639068773.8352273,161,2.0572307109832764
1639068774.7962565,171,1.8181157112121582
1639068775.8459601,181,1.9966416358947754
1639068776.9295475,191,1.9377491474151611
1639068777.9529395,201,1.861809492111206
1639068779.0280657,211,1.9290932416915894
1639068779.9778457,221,1.9434970617294312
1639068781.068868,231,2.062889337539673
1639068782.0842316,241,1.8805770874023438
1639068783.0307221,251,2.026052951812744
1639068784.1135824,261,1.7600010633468628
1639068785.27045,271,2.0417118072509766
1639068786.3964891,281,1.8716015815734863
1639068787.4044275,291,2.032048225402832
1639068788.5661917,301,1.8216053247451782
1639068789.554065,311,1.8919880390167236
1639068790.490258,321,1.8303754329681396
1639068791.6666315,331,1.8404508829116821
1639068792.6011167,341,1.949123740196228
1639068793.725738,351,1.9857091903686523
1639068794.6813488,361,1.8082001209259033
1639068795.6408436,371,1.8742332458496094
1639068796.9086435,381,2.1378097534179688
1639068797.9418986,391,1.9248180389404297
1639068799.1517942,401,1.9224143028259277
1639068800.1811256,411,1.9255590438842773
1639068801.3001332,421,1.911947250366211
1639068802.4786353,431,1.8683301210403442
1639068803.637699,441,2.0832414627075195
1639068804.649502,451,1.539318323135376
1639068805.8521242,461,1.9842513799667358
1639068806.8578362,471,1.8482136726379395
1639068808.011132,481,1.8145047426223755
1639068809.0829089,491,1.8452922105789185
1639068810.120982,501,1.9268290996551514
1639068811.3601964,511,1.8914731740951538
1639068812.6279101,521,1.9042389392852783
1639068813.655787,531,1.6538081169128418
1639068814.6497352,541,1.7866449356079102
1639068815.8349254,551,1.863696575164795
1639068816.8239622,561,1.7861855030059814
1639068817.9114943,571,1.9428188800811768
1639068818.8330297,581,1.892288088798523
1639068819.8631124,591,2.141601324081421
1639068820.9858167,601,1.9009816646575928
1639068821.897234,611,1.953176736831665
1639068822.9743276,621,1.9084043502807617
1639068823.9876194,631,1.8585376739501953
1639068824.9406133,641,1.913627028465271
1639068826.0067675,651,1.7789080142974854
1639068827.0190601,661,1.686591625213623
1639068827.9271338,671,1.78994882106781
1639068829.0698035,681,1.9184014797210693
1639068830.0232186,691,1.76224684715271
1639068831.130325,701,2.060333490371704
1639068832.1545837,711,2.0023081302642822
1639068833.190508,721,1.8085381984710693
1639068834.1274421,731,1.8833614587783813
1639068835.3118837,741,1.824303150177002
1639068836.2047856,751,1.8239290714263916
1639068837.151274,761,1.7210010290145874
1639068838.280946,771,2.094454526901245
1639068839.2566574,781,1.910341739654541
1639068840.2824013,791,1.7785470485687256
1639068841.3202364,801,1.7450249195098877
1639068842.317575,811,1.8451883792877197
1639068843.5064673,821,1.9285190105438232
1639068844.4376316,831,2.0018815994262695
1639068845.3934836,841,1.7560386657714844
1639068846.4874892,851,1.8590798377990723
1639068847.4768739,861,1.8173167705535889
1639068848.4817433,871,1.8782038688659668
1639068849.6521735,881,2.007575273513794
1639068850.7263186,891,1.7667393684387207
1639068851.77492,901,1.8761937618255615
1639068852.7174127,911,1.8857353925704956
1639068853.7010062,921,1.9504399299621582
1639068854.9008534,931,1.8039844036102295
1639068855.8659115,941,1.9876798391342163
1639068856.879753,951,1.9040436744689941
1639068858.083389,961,1.9359962940216064
1639068859.027887,971,2.094552516937256
1639068859.964027,981,1.9333970546722412
1639068861.2069774,991,1.821793556213379
1639068862.171403,1001,1.934342861175537
1639068863.1655617,1011,1.8171799182891846
1639068864.210555,1021,1.8762081861495972
1639068865.2601507,1031,2.1324944496154785
1639068866.4277875,1041,1.9917609691619873
1639068867.3599162,1051,1.7637150287628174
1639068868.285058,1061,1.8542060852050781
1639068869.4306967,1071,1.8441441059112549
1639068870.3452525,1081,1.7167608737945557
1639068871.3695157,1091,2.10573673248291
1639068872.5161116,1101,1.8505520820617676
1639068873.4975803,1111,1.8564379215240479
1639068874.5157578,1121,2.0311763286590576
1639068875.517605,1131,1.876732587814331
1639068876.6460967,1141,1.7633861303329468
1639068877.7091417,1151,1.8404855728149414
1639068878.6914608,1161,1.9295295476913452
1639068879.7960339,1171,1.9886937141418457
1639068880.847222,1181,1.8935202360153198
1639068881.8494196,1191,1.7931139469146729
1639068882.910599,1201,2.0172860622406006
1639068883.9491649,1211,1.7441601753234863
1639068884.998865,1221,1.877366065979004
1639068886.079616,1231,1.9820315837860107
1639068887.1303196,1241,1.9404118061065674
